Objekt	Date	CleaningType
T45	2017-06-29	Lutdisk
BBT 322	2017-06-29	Syradisk
BBT 319	2017-06-29	Syradisk
BBT 313	2017-06-29	Syradisk
BBT 308	2017-06-30	Syradisk
BBT 321	2017-06-30	Syradisk
BBT 314	2017-07-02	Syradisk
BBT 317	2017-07-02	Syradisk
BBT 325	2017-07-02	Syradisk
BBT 305	2017-07-02	Syradisk
BBT 318	2017-07-02	Lutdisk
BBT 304	2017-07-03	Syradisk
BBT 316	2017-07-03	Syradisk
BBT 306	2017-07-03	Syradisk
BBT 320	2017-07-04	Lutdisk
BBT 323	2017-07-04	Syradisk
BBT 324	2017-07-04	Syradisk
BBT 315	2017-07-04	Syradisk
BBT 309	2017-07-04	Syradisk
BBT 310	2017-07-04	Syradisk
BBT 311	2017-07-04	Lutdisk
BBT 322	2017-07-04	Syradisk
BBT 307	2017-07-05	Syradisk
BBT 309	2017-07-05	Lutdisk
BBT 313	2017-07-06	Lutdisk
BBT 314	2017-07-06	Syradisk
Stora balanssystemet (1)	2017-07-07	Lutdisk
Kolsyraledning	2017-07-07	Rengjord
Lilla balanssystemet (2)	2017-07-07	Lutdisk
T34	2017-07-07	Syradisk
T45	2017-07-07	Syradisk
BBT 314	2017-07-09	Syradisk
BBT 304	2017-07-10	Syradisk
BBT 312	2017-07-10	Lutdisk
BBT 305	2017-07-10	Lutdisk
BBT 308	2017-07-10	Lutdisk
BBT 306	2017-07-11	Syradisk
BBT 316	2017-07-11	Syradisk
BBT 315	2017-07-12	Syradisk
BBT 320	2017-07-12	Syradisk
BBT 322	2017-07-12	Syradisk
BBT 312	2017-07-12	Syradisk
BBT 319	2017-07-12	Lutdisk
BBT 324	2017-07-13	Syradisk
BBT 317	2017-07-13	Lutdisk
BBT 314	2017-07-13	Syradisk
BBT 304	2017-07-13	Lutdisk
BBT 309	2017-07-14	Syradisk
Filtret-Veckoavslut	2017-07-14	Lutsterilning
Filtret	2017-07-14	Rengjord
BBT 307	2017-07-14	Lutdisk
Aldox	2017-07-14	Syradisk
T34	2017-07-15	Syradisk
T45	2017-07-15	Syradisk
